SimplifiedName,TraditionalName,PinyinName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id
中医康复学,中醫康復學,,traditional Chinese rehabilitation,,,"the branch of traditional Chinese medicine concerned with the restoration of function after injury or illness, also called traditional Chinese medicine rehabilitation",2
中医护理学,中醫護理學,,traditional Chinese nursing,,,"the branch of traditional Chinese medicine dealing with the study, methods and clinical application of nursing care",2
温病学,溫病學,,warm disease (study),,,"the branch of traditional Chinese medicine dealing with the study of pathogenesis, diagnosis, treatment and prevention of warm pathogen diseases, also known as warm pathogen disease (study)",2
养生,養生,,life nurturing,,,"traditional health-care to promote health, prevent disease and enhance longevity, also called health preservation/cultivation",2
康复,康復,,rehabilitation,,,"the treatment of an ill, injured, or disabled patient with the aim of restoring normal health and function or to prevent a disability from deteriorating",2
导引,導引,,conduction exercise,,,"promotion of health and prevention of disease by specially designed physical movements and breathing exercises, also called guiding and conducting exercise",2
考证学派,考證學派,,classicist school,,,a Kampo school which bases its study on ancient philological theories in classic textbooks,2
后世派,後世派,,gosei school,,,"a Kampo school in Japan, mainly relies on the five-phase and meridian theory, the same as the latter-day school",2
古方派,古方派,,Koho school,,,"a Kampo school advocating the practical type of medicine of the Shanghanlun, emphasizes abdominal signs and formula-pattern coupling, the same as the antiquity school",2
折衷派,折衷派,,Sechu school,,,"a Kampo school which blends traditions from the Koho and Gosei schools, the same as the eclectic school",2
东洋医学,東洋醫學,,Oriental medicine,,,"a general term for traditional medicine practiced in East Asian countries, e.g., Japan and Korea",2
李朱医学,李朱醫學,,li-Zhu medicine,,,the medicine of Li Dongyuan and Zhu Danxi,2
体质；禀赋,體質；稟賦,,constitution,,,"the characteristics of an individual, including structural and    functional    characteristics,    temperament, adaptability to    environmental    changes and susceptibility to disease. It is relatively stable, being in part, genetically determined and in part, acquired",2
体质医学,體質醫學,,constitutional medicine,,,"the branch of medicine based on assessment of an individual's constitution involving physiology, pathology, diagnosis, treatment and maintenance of health",2
四象医学,四象醫學,,four-constitution medicine,,,"the branch of traditional Korean medicine initiated by Lee Je-ma, which stresses the theory of the four constitutions:    physiology, pathology, diagnosis, and maintenance of health, also called Sasang Constitutional Medicine",2
四象人,四象人,,four constitution types,,,four types of constitution: a greater yang person: a lesser yang person: a greater yin person: and a lesser,2
太阳人,太陽人,,greater yang person,,,"one who has strong lung and weak liver in the context of Four-Constitution Medicine, also called a Tai-yang",2
少阳人,少陽人,,lesser yang person,,,"one who has strong spleen and weak kidney in the context of Four-Constitution Medicine, also called a So-yang person",2
太阴人,太陰人,,greater yin person,,,"one who has strong liver and weak lung in the context of Four-Constitution Medicine, also called a Tai-eum",2
少阴人,少陰人,,lesser yin person,,,"one who has strong kidney and weak spleen in the context of Four-Constitution Medicine, also called a So-eum person",2
汉方； 汉方医学,漢方； 漢方醫學,,Kampo medicine,,,"the medicine traditionally practiced in Japan, based on ancient Chinese medicine",2
韩医学,韓醫學,,traditional Korean medicine,,,"the medicine traditionally practiced in Korea, based on ancient Chinese medicine, which focuses principally on constitutional approaches",2
越医学,越醫學,,traditional Vietnamese medicine,,,"the medicine traditionally practiced in Vietnam, based on ancient Chinese medicine",2
藏医学,藏醫學,,Tibetan medicine,,,the medicine traditionally practiced in Tibet,2
蒙医学,蒙醫學,,mongolian traditional medicine,,,the medicine traditionally practiced in Mongolia,2
维医学,維醫學,,Uyghur medicine,,,the medicine traditionally practiced by the Uyghur,2
中医诊断学,中醫診斷學,[zhong yi zhen dudn xue],diagnostics of Chinese medicine,,,,2
中医医史学,中醫醫史學,[zhong yi yi shi xue],history of Chinese medicine,,,,2
中医医案,中醫醫案,[zhong yi yi dn],case records of Chinese medicine,,,,2
中医药膳学,中醫藥膳學,[zhong yi ydo shdn xue],medicated diet of Chinese medicine,,,,2
中医养生学,中醫養生學,[zhong yi yang sheng xue],Chinese health preservation,,,,2
中医眼科学,中醫眼科學,[zhong yi yan ke xue],Chinese ophthalmology; ophthalmology of Chinese medicine,,,,2
中医学,中醫學,[zhong yi xue],Chinese medicine; traditional Chinese medicine (TCM),,,,2
中医文献学,中醫文獻學,[zhong yi wen xidn xue],Chinese medical literature,,,,2
中医外科学,中醫外科學,[zhong yi wdi ke xue],Chinese external medicine; surgery of Chinese medicine,,,,2
中医食疗学,中醫食療學,[zhong yi shi lido xue],diet therapy of Chinese medicine,,,,2
中医师,中醫師,[zhong yi shj],physician/doctor of Chinese medicine,,,,2
中医皮肤病学,中醫皮膚病學,[zhong yi pi fu bing xue],Chinese dermatology; dermatology of Chinese medicine,,,,2
中医内科学,中醫內科學,[zhong yi nei ke xue],Chinese internal medicine,,,,2
中医康复学,中醫康複學,[zhong yi kang fu xue],rehabilitation of Chinese medicine,,,,2
中医急诊学,中醫急診學,[zhong yi ji zhen xue],Chinese emergency medicine,,,,2
中医基础理论,中醫基礎理論,[zhong yi ji chu H lun],basic theory of Chinese medicine,,,,2
中医护士,中醫護士,[zhong yi hu shi],nurse of Chinese medicine,,,,2
中医护理学,中醫護理學,[zhong yi hu H xue],Chinese nursing,,,,2
中医骨伤科学,中醫骨傷科學,[zhong yi gu shdng ke xue],Chinese orthopedics and traumatology; orthopedics and traumatology of Chinese medicine,,,,2
中医各家学说,中醫各家學說,[zhong yi ge jid xue shuo],various schools of traditional Chinese medicine,,,,2
中医肛肠病学,中醫肛腸病學,[zhong yi gang chang bing xue],Chinese proctology; proctology of Chinese medicine,,,,2
中医妇科学,中醫婦科學,[zhong yi fu ke xue],Chinese gynecology; gynecology of Chinese medicine,,,,2
中医耳鼻喉科 学,中醫耳鼻喉科 學,[zhong yi er bi hou ke xue],Chinese otorhinolaryngology; otorhinolaryngology of Chinese medicine,,,,2
中医儿科学,中醫兒科學,[zhong yi er ke xue],Chinese pediatrics; pediatrics of Chinese medicine,,,,2
中医,中醫,[zhong yi],①    Chinese medicine ②    physician/doctor of Chinese medicine,,,,2
中药学,中藥學,[zhong ydo xue],Chinese materia medica; Chinese pharmacy,,,,2
中药师,中藥師,[zhong ydo shi],pharmacist of Chinese medicine,,,,2
中西医结合医 师,中西醫結合醫 師,[zhong xi yi jie he yi shi],physician/doctor of integrated Chinese and Western medicine,,,,2
中西医结合,中西醫結合,[zhong xi yi jie he],integration of Chinese and Western medicine,,,,2
正骨,正骨,[zheng gu],①bonesetting ②ulna,,,,2
整体观念,整體觀念,[zheng ti guan nian],concept of holism,,,,2
针灸学,針灸學,[zhen jiu xue],acupuncture and moxibustion,,,,2
针灸师,針灸師,[zhen jiu shi],acupuncturist,,,,2
针刀医学,針刀醫學,[zhen dao yi xue],acupotomy,,,,2
医古文,醫古文,[yi gu wen],medical articles of archaic Chinese,,,,2
疡医,瘍醫,lyang yi],sore and wound doctor,,,,2
温病学,溫病學,[wen bing xue],warm diseases,,,,2
推拿学,推拿學,[tui nd xue],tuina,,,,2
推拿手法学,推拿手法學,[tui nd shou fa xue],manipulation of tuina,,,,2
推拿按摩师,推拿按摩師,[tui na dn mo shi],massagist,,,,2
天人相应,天人相應,[tidn ren xidng ying],correspondence between nature and human,,,,2
素问,素問,[su wen],Plain Questions,,,,2
十三科,十三科,[shi s an ke],thirteen branches of medicine,,,,2
伤寒论,傷寒論,[shdng han lun],Treatise on Cold Damage Diseases,,,,2
人与天地相参,人與天地相參,[ren yu tidn di xidng can],human correlating with nature,,,,2
内经,內經,[nei jing],Internal Classic,,,,2
灵枢,靈樞,[ling shu],Miraculous Pivot,,,,2
金匮要略,金匱要略,[jin gui ydo lue],Synopsis of the Golden Chamber,,,,2
黄帝内经,黃帝內經,[huang di nei jing],Huangdi's Internal Classic,,,,2
草药医生,草藥醫生,[cao ydo yi sheng],herbalist,,,,2
辨证论治,辨證論治,[bian zheng lun zhi],syndrome differentiation and treatment; pattern identification and treatment (syndrome differentiation/ pattern identification and treatment),,,,2
阴,陰,[yīn],yin,,,,3
阳,陽,[yánɡ],yang,,,,3
阴阳,陰陽,[yīn yánɡ],yin and yang; yin-yang,,,,3
阴阳学说,陰陽學說,[yīn yánɡ xué shuō],yin-yang theory,,,,3
阳气,陽氣,[yánɡ qì],yang qi,,,,3
阴气,陰氣,[yīn qì],yin qi,,,,3
阴中之阴,陰中之陰,[yīn zhōnɡ zhī yīn],yin within yin,,,,3
阴中之阳,陰中之陽,[yīn zhōnɡ zhī yánɡ],yang within yin,,,,3
阳中之阴,陽中之陰,[yánɡ zhōnɡ zhī yīn],yin within yang,,,,3
阳中之阳,陽中之陽,[yánɡ zhōnɡ zhī yánɡ],yang within yang,,,,3
阴阳交感,陰陽交感,[yīn yánɡ jiāo ɡǎn],interaction of yin and yang,,,,3
阴阳对立,陰陽對立,[yīn yánɡ duì lì],mutual opposition of yin and yang,,,,3
阴阳互根,陰陽互根,[yīn yánɡ hù ɡēn],mutual rooting of yin and yang; yin and yang are rooted in each other,,,,3
阳生于阴,陽生於陰,[yánɡ shēnɡ yú yīn],yang is engendered by yin,,,,3
阴生于阳,陰生於陽,[yīn shēnɡ yú yánɡ],yin is engendered by yang,,,,3
孤阳不生，独阴不长,孤陽不生，獨陰不長,"[ɡū yánɡ bù shēnɡ, dú yīn bù zhǎnɡ]",solitary yang cannot grow and lone yin cannot increase,,,,3
阴阳消长,陰陽消長,[yīn yánɡ xiāo zhǎnɡ],the waxing and waning of yin and yang; the growth and decline of yin and yang; natural flux of yin and yang,,,,3
阳生阴长,陽生陰長,[yánɡ shēnɡ yīn zhǎnɡ],"when yang arises, yin grows",,,,3
阳杀阴藏,陽殺陰藏,[yánɡ shā yīn cánɡ],"when yang abates, yin hides",,,,3
阴阳转化,陰陽轉化,[yīn yánɡ zhuǎn huà],yin-yang conversion,,,,3
阴阳平衡,陰陽平衡,[yīn yánɡ pínɡ hénɡ],yin-yang balance,,,,3
阴阳调和,陰陽調和,[yīn yánɡ tiáo hé],yin-yang harmony,,,,3
阴阳自和,陰陽自和,[yīn yánɡ zì hé],spontaneous harmonization of yin and yang,,,,3
重阴必阳，重阳必阴,重陰必陽，重陽必陰,"[chónɡ yīn bì yánɡ, chónɡ yánɡ bì yīn]","extreme yin turns into yang, extreme yang turns into yin",,,,3
阴静阳躁,陰靜陽躁,[yīn jìnɡ yánɡ zào],yin is calm while yang is agitated,,,,3
阳道实，阴道虚,陽道實，陰道虛,"[yánɡ dào shí, yīn dào xū]","yang is often in excess, while yin in deficiency",,,,3
生之本本于阴阳,生之本本於陰陽,[shēnɡ zhī běn běn yú yīn yánɡ],human life is based on yin and yang,,,,3
阳化气，阴成形,陽化氣，陰成形,"[yánɡ huà qì, yīn chénɡ xínɡ]","yang transforms into qi, while yin constitutes form",,,,3
阴阳之要，阳密乃固,陰陽之要，陽密乃固,"[yīn yánɡ zhī yào, yánɡ mì nǎi ɡù]",Only when yang is compact can it consolidate yin essence.,,,,3
阴平阳秘，精神乃治,陰平陽秘，精神乃治,"[yīn pínɡ yánɡ mì, jīnɡ shén nǎi zhì]",Only when yin is calm and yang is sound can essence-spirit be normal.,,,,3
阳胜则阴病,陽勝則陰病,[yánɡ shènɡ zé yīn bìnɡ],yang predominance leads to yin disease,,,,3
阴胜则阳病,陰勝則陽病,[yīn shènɡ zé yánɡ bìnɡ],yin predominance leads to yang disease,,,,3
"阴阳离决,精气乃绝","陰陽離決,精氣乃絕","[yīn yánɡ lí jué, jīnɡ qì nǎi jué]","If yin and yang separate from each other, essential qi will be exhausted.",,,,3
阳气者若天与日,陽氣者若天與日,[yánɡ qì zhě ruò tiān yǔ rì],Yang qi is just like the sun in the sky.,,,,3
太阳,太陽,[tài yánɡ],1. taiyang (channel); 2. name of extra point; 3. the temple; 4. the sun,,,,3
阳为气阴为味,陽為氣陰為味,[yánɡ wéi qì yīn wéi wèi],"yang pertains to qi (thermal nature), and yin to flavor",,,,3
辛甘发散为阳,辛甘發散為陽,[xīn ɡān fā sàn wéi yánɡ],acrid and sweet (flavors of medicinals) with a dispersing effect pertain to yang,,,,3
酸苦涌泄为阴,酸苦湧泄為陰,[suān kǔ yǒnɡ xiè wéi yīn],sour and bitter flavors with emetic and purgative effects pertain to yin,,,,3
淡味渗泄为阳,淡味滲泄為陽,[dàn wèi shèn xiè wéi yánɡ],a bland flavor with percolating and diuretic effects pertain to yang,,,,3
五行,五行,[wǔ xínɡ],the five phases,,,,3
木,木,[mù],wood,,,,3
火,火,[huǒ],fire,,,,3
土,土,[tǔ],earth,,,,3
金,金,[jīn],metal,,,,3
水,水,[shuǐ],water,,,,3
五行学说,五行學說,[wǔ xínɡ xué shuō],five-phase theory,,,,3
别异比类,別異比類,[bié yì bǐ lèi],analogy,,,,3
五行相生,五行相生,[wǔ xínɡ xiānɡ shēnɡ],the generation cycle of the five phases,,,,3
木生火,木生火,[mù shēnɡ huǒ],wood generates fire,,,,3
火生土,火生土,[huǒ shēnɡ tǔ],fire generates earth,,,,3
土生金,土生金,[tǔ shēnɡ jīn],earth generates metal,,,,3
金生水,金生水,[jīn shēnɡ shuǐ],metal generates water,,,,3
水生木,水生木,[shuǐ shēnɡ mù],water generates wood,,,,3
生化,生化,[shēnɡ huà],generation and transformation,,,,3
五行相克,五行相克,[wǔ xínɡ xiānɡ kè],the restriction cycle of the five phases,,,,3
木克土,木克土,[mù kè tǔ],wood restricts earth,,,,3
火克金,火克金,[huǒ kè jīn],fire restricts metal,,,,3
土克水,土克水,[tǔ kè shuǐ],earth restricts water,,,,3
金克木,金克木,[jīn kè mù],metal restricts wood,,,,3
水克火,水克火,[shuǐ kè huǒ],water restricts fire,,,,3
五行相乘,五行相乘,[wǔ xínɡ xiānɡ chènɡ],over-restriction (of the five-phase relationships),,,,3
制化,制化,[zhì huà],restriction and generation,,,,3
五行相侮,五行相侮,[wǔ xínɡ xiānɡ wǔ],counter-restriction (of the five-phase relationships),,,,3
木侮金,木侮金,[mù wǔ jīn],wood counter-restricts metal,,,,3
火侮水,火侮水,[huǒ wǔ shuǐ],fire counter-restricts water,,,,3
土侮木,土侮木,[tǔ wǔ mù],earth counter-restricts wood,,,,3
金侮火,金侮火,[jīn wǔ huǒ],metal counter-restricts fire,,,,3
水侮土,水侮土,[shuǐ wǔ tǔ],water counter-restricts earth,,,,3
亢害承制,亢害承制,[kànɡ hài chénɡ zhì],harmful hyperactivity and responding inhibition (Hyperactivity causes harm; preventing its development brings order.),,,,3
所胜,所勝,[suǒ shènɡ],the phase being restricted (by another); restricted phase,,,,3
所不胜,所不勝,[suǒ bù shènɡ],the phase that is not restricted (by another),,,,3
木为金之所胜,木為金之所勝,[mù wéi jīn zhī suǒ shènɡ],wood is the phase that is restricted by metal,,,,3
火为水之所胜,火為水之所勝,[huǒ wéi shuǐ zhī suǒ shènɡ],fire is the phase that is restricted by water,,,,3
土为木之所胜,土為木之所勝,[tǔ wéi mù zhī suǒ shènɡ],earth is the phase that is restricted by wood,,,,3
金为火之所胜,金為火之所勝,[jīn wéi huǒ zhī suǒ shènɡ],metal is the phase that is restricted by fire,,,,3
水为土之所胜,水為土之所勝,[shuǐ wéi tǔ zhī suǒ shènɡ],water is the phase that is restricted by earth,,,,3
木为土之所不胜,木為土之所不勝,[mù wéi tǔ zhī suǒ bù shènɡ],wood is the phase that is not restricted by earth,,,,3
火为金之所不胜,火為金之所不勝,[huǒ wéi jīn zhī suǒ bù shènɡ],fire is the phase that is not restricted by metal,,,,3
土为水之所不胜,土為水之所不勝,[tǔ wéi shuǐ zhī suǒ bù shènɡ],earth is the phase that is not restricted by water,,,,3
金为木之所不胜,金為木之所不勝,[jīn wéi mù zhī suǒ bù shènɡ],metal is the phase that is not restricted by wood,,,,3
水为火之所不胜,水為火之所不勝,[shuǐ wéi huǒ zhī suǒ bù shènɡ],water is the phase that is not restricted by fire,,,,3
木曰曲直,木曰曲直,[mù yuē qǔ zhí],wood is characterized by bending and straightening,,,,3
木喜条达,木喜條達,[mù xǐ tiáo dá],wood prefers free activity,,,,3
火为阳,火為陽,[huǒ wéi yánɡ],fire pertains to yang,,,,3
火曰炎上,火曰炎上,[huǒ yuē yán shànɡ],fire is the flaming upward,,,,3
土爰稼穑,土爰稼穡,[tǔ yuán jià sè],earth is the sowing and reaping,,,,3
土生万物,土生萬物,[tǔ shēnɡ wàn wù],earth engenders the myriad things; earth gives birth to everything,,,,3
金曰从革,金曰從革,[jīn yuē cónɡ ɡé],metal is the working of change,,,,3
金气肃杀,金氣肅殺,[jīn qì sù shā],metal is characterized by clearing and descent,,,,3
水曰润下,水曰潤下,[shuǐ yuē rùn xià],water is the moistening and descending,,,,3
母气,母氣,[mǔ qì],mother-phase qi,,,,3
子气,子氣,[zǐ qì],①child-phase qi ②edema of the legs during pregnancy,,,,3
五时,五時,[wǔ shí],the five seasons,,,,3
五志,五志,[wǔ zhì],"the five minds (the five basic forms of mental and emotional activity, i.e., joy, anger, anxiety, thought, fear; w? zhì, 五志)",,,,3
五声,五聲,[wǔ shēnɡ],the five voices,,,,3
五味,五味,[wǔ wèi],the five flavors,,,,3
五音,五音,[wǔ yīn],the five notes,,,,3
五宫,五宮,[wǔ ɡōnɡ],①the five zang organs; the five viscera ②the five orientations (the four cardinal directions plus the center),,,,3
整体观念,整體觀念,[zhěnɡ tǐ ɡuān niàn],concept of holism,,,,3
人与天地相参,人與天地相參,[rén yǔ tiān dì xiānɡ cān],human beings are at the junction of heaven and earth,,,,3
天人相应,天人相應,[tiān rén xiānɡ yìnɡ],correspondence between heaven and humankind; adaptation of humans to the natural environment; correspondence between humans and the natural environment,,,,3
神形合一,神形合一,,the unity of spirit and form,,,,3
辨证论治,辨證論治,[biàn zhènɡ lùn zhì],pattern differentiation and treatment; treatment according to pattern differentiation,,,,3
证,證,,pattern; syndrome,,,,3
天人相应,天人相應,,correspondence between nature and human,,,one of the basic concepts in traditional Chinese medicine which emphasizes that humans are in adaptive conformity with the natural environment,3
阴中之阴,陰中之陰,,yin within yin,,,"the yin aspect of the yin category, for example, the night is regarded as yin in relation to daytime, the period from nightfall to midnight is the yin part within yin",3
阳中之阳,陽中之陽,,yang within yang,,,"the yang aspect of the yang category, for example, the daytime is regarded as yang in relation to night, and the period between dawn and noon is the yang part within yang",3
阳中之阴,陽中之陰,,yin within yang,,,"the yin aspect of the yang category, for example, the daytime is regarded as yang in relation to night, and the period between midday and nightfall is the yin part of yang",3
阴阳对立,陰陽對立,,opposition of yin and yang,,,"the mutually opposing, repelling and contending relationship between yin and yang",3
阴阳互根,陰陽互根,,mutual rooting of yin and yang,,,"the mutually dependent relationship between yin and yang, the same as interdependence between yin and yang",3
阴阳消长,陰陽消長,,waxing and waning of yin and yang,,,"alternation of strength and prevalence between the paired yin and yang, the same as natural flux of yin and yang or inter-consuming-supporting relationship of yin and yang",3
阴阳平衡,陰陽平衡,,yin-yang balance,,,the state in which yin and yang are balanced,3
阴阳调和,陰陽調和,,yin-yang harmony,,,the state in which yin and yang are in harmonious coordination,3
阴阳转化,陰陽轉化,,yin-yang conversion,,,"the property of the same thing can be transformed between yin and yang, also called inter-transformation of yin and yang",3
阴极似阳,陰極似陽,,extreme yin resembling yang,,,"a pathological change in which yang qi is extremely weakened while yin is exuberant in the interior,",3
整体观念,整體觀念,,holism,,,"one of the philosophical ideas regarding the human body as an organic whole, which is integrated with the external environment",3
阳极似阴,陽極似陰,,extreme yang resembling yin,,,"a pathological change in which extremely exuberant pathogenic heat makes yang qi depressed and deeply hidden in the interior, with yin restricted to the outside, giving rise to a true heat and false cold pattern/ syndrome",3
五行学说,五行學說,,five phase theory,,,"one of the philosophical theories of medical practice in ancient China, concerning the composition and evolution of the physical universe, epitomized by the nature and the inhibition-generation relationships of the five phases, wood, fire, earth, metal and water, serving as the guiding ideology and methodology of physiology, pathology, clinical diagnosis and treatment, also known as five elements theory",3
五行,五行,,five phases,,,"the five phases: wood, fire, earth, metal and water, and their movements and changes, also known as five elements",3
木,木,,wood,,,"one of the five phases, with which the season spring, the color blue or green, the taste sourness, and the liver and gallbladder in the body are associated",3
火,火,,fire,,,"one of the five phases, with which the season summer, the color red, the taste bitterness, and the heart and small intestine in the body are associated",3
土,土,,earth,,,"one of the five phases, with which the season of late summer, the color yellow, the taste sweetness, and the spleen and stomach in the body are associated",3
金,金,,metal,,,"one of the five phases, with which the season autumn, the color white, the taste acridity-pungent, and the lung and large intestine in the body are associated",3
水,水,,water,,,"(1) one of the five phases, with which the season winter, the color black, the taste saltiness, and the kidney and bladder in the body are associated; (2) pathologic aspect of body fluid",3
五行归类,五行歸類,,categorization according to the five phases,,,"classification of material things and phenomena into five categories by comparing their structures, properties and actions with the five phases",3
(相）生,(相）生,,engendering,,,"the relationship in which each phase and its associated phenomena give rise to or promote another sequential phase, also the same as generating",3
辨证论治,辨證論治,,pattern identification/ syndrome differentiation and treatment,,,"diagnosis of the pattern/syndrome, through comprehensive analysis of symptoms and signs, which has implications for determining the cause, nature and location of the illness and the patient's physical condition, and their treatment",3
木生火,木生火,,wood engenders fire,,,"the category of wood generates or promotes the category of fire, also the same as wood generating fire",3
火生土,火生土,,fire engenders earth,,,"the category of fire generates or promotes the category of earth, also called fire generating earth",3
土生金,土生金,,earth engenders metal,,,"the category of earth generates or promotes the category of metal, also called earth generating metal",3
金生水,金生水,,metal engenders water,,,"the category of metal generates or promotes the category of water, also called metal generating water",3
水生木,水生木,,water engenders wood,,,"the category of water generates or promotes the category of wood, also called water generating wood",3
(相）克,(相）克,,restraining,,,the relationship in which each phase and its associated phenomena restrict/check/control another phase,3
